game_id,home_team,away_team,location,roof,surface,stadium,weather_available,weather_source,forecast_time_utc,temperature_f,wind_mph,wind_gust_mph,precipitation_probability_pct,precipitation_in,weather_code,weather_auto_points
2026_01_NE_SEA,SEA,NE,Home,outdoors,fieldturf,Lumen Field,True,open-meteo,2026-09-10 00:00:00+00:00,75.9,7.6,10.3,1,0.0,3,0.0
2026_01_SF_LA,LA,SF,Neutral,dome,matrixturf,Melbourne Cricket Ground,False,missing,,,,,,,,0.0
2026_01_ATL_PIT,PIT,ATL,Home,outdoors,grass,Acrisure Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,75.9,2.6,5.4,11,0.0,3,0.0
2026_01_BAL_IND,IND,BAL,Home,,fieldturf,Lucas Oil Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,86.2,2.9,2.9,9,0.0,3,0.0
2026_01_BUF_HOU,HOU,BUF,Home,,astroturf,Reliant Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,93.2,8.1,10.3,18,0.0,1,0.0
2026_01_CHI_CAR,CAR,CHI,Home,outdoors,grass,Bank of America Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,90.5,7.3,11.6,11,0.0,1,0.0
2026_01_CLE_JAX,JAX,CLE,Home,outdoors,grass,EverBank Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,97.4,4.0,2.5,8,0.0,0,0.0
2026_01_NO_DET,DET,NO,Home,dome,fieldturf,Ford Field,True,open-meteo,2026-09-13 17:00:00+00:00,84.8,4.9,7.8,5,0.0,1,0.0
2026_01_NYJ_TEN,TEN,NYJ,Home,outdoors,grass,Nissan Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,89.9,5.3,8.7,6,0.0,0,0.0
2026_01_TB_CIN,CIN,TB,Home,outdoors,fieldturf,Paycor Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,86.8,3.2,3.4,8,0.0,1,0.0
2026_01_ARI_LAC,LAC,ARI,Home,dome,matrixturf,SoFi Stadium,True,open-meteo,2026-09-13 20:00:00+00:00,76.8,9.2,5.8,0,0.0,0,0.0
2026_01_GB_MIN,MIN,GB,Home,dome,sportturf,U.S. Bank Stadium,True,open-meteo,2026-09-13 20:00:00+00:00,70.9,10.3,12.8,36,0.0,3,0.0
2026_01_MIA_LV,LV,MIA,Home,dome,grass,Allegiant Stadium,True,open-meteo,2026-09-13 20:00:00+00:00,92.1,6.7,17.4,1,0.0,0,0.0
2026_01_WAS_PHI,PHI,WAS,Home,outdoors,grass,Lincoln Financial Field,True,open-meteo,2026-09-13 20:00:00+00:00,81.5,5.7,8.9,28,0.0,3,0.0
2026_01_DAL_NYG,NYG,DAL,Home,outdoors,fieldturf,MetLife Stadium,True,open-meteo,2026-09-14 00:00:00+00:00,74.8,4.2,8.7,18,0.004,51,0.0
2026_01_DEN_KC,KC,DEN,Home,outdoors,grass,GEHA Field at Arrowhead Stadium,True,open-meteo,2026-09-15 00:00:00+00:00,87.8,6.7,19.9,33,0.0,0,0.0
