season,week,team,player_id,player_name,position_group,status,report_date,source
2026,2,ARI,,Isaac Seumalo,IOL,questionable,2026-09-19 01:53:00+00:00,espn
2026,2,ARI,,Isaiah Adams,IOL,questionable,2026-09-19 01:48:00+00:00,espn
2026,2,ARI,,Andrew Billings,IDL,questionable,2026-09-19 00:55:00+00:00,espn
2026,2,ARI,,Roy Lopez,IDL,questionable,2026-09-19 00:50:00+00:00,espn
2026,2,ARI,,Max Melton,CB,questionable,2026-09-19 00:45:00+00:00,espn
2026,2,ARI,,Dadrion Taylor-Demerson,S,questionable,2026-09-19 00:26:00+00:00,espn
2026,2,ARI,,Jack Gibbens,LB,active,2026-09-19 00:22:00+00:00,espn
2026,2,ARI,,Garrett Williams,CB,out,2026-09-19 00:20:00+00:00,espn
2026,2,ARI,,Cody Simon,LB,active,2026-09-18 20:55:00+00:00,espn
2026,2,ARI,,Kitan Crawford,S,unknown,2026-09-17 00:16:00+00:00,espn
2026,2,ARI,,Budda Baker,S,active,2026-09-16 02:52:00+00:00,espn
2026,2,ARI,,Bam Knight,RB,active,2026-09-15 01:37:00+00:00,espn
2026,2,ARI,,Kendrick Bourne,WR,active,2026-09-14 23:09:00+00:00,espn
2026,2,ARI,,Chad Ryland,PK,active,2026-09-14 16:03:00+00:00,espn
2026,2,ARI,,Reggie Virgil,WR,active,2026-09-14 15:05:00+00:00,espn
2026,2,ARI,,Marvin Harrison Jr.,WR,active,2026-09-14 03:16:00+00:00,espn
2026,2,ARI,,Michael Wilson,WR,active,2026-09-14 03:08:00+00:00,espn
2026,2,ARI,,Tyler Allgeier,RB,active,2026-09-14 03:03:00+00:00,espn
2026,2,ARI,,Jacoby Brissett,QB,active,2026-09-14 02:57:00+00:00,espn
2026,2,ARI,,Trey McBride,TE,active,2026-09-14 01:46:00+00:00,espn
2026,2,ARI,,Jeremiyah Love,RB,active,2026-09-14 01:22:00+00:00,espn
2026,2,ARI,,Carson Beck,QB,active,2026-09-13 19:21:00+00:00,espn
2026,2,ARI,,Blake Gillikin,P,active,2026-09-10 00:57:00+00:00,espn
2026,2,ARI,,Will Johnson,CB,active,2026-09-10 00:35:00+00:00,espn
2026,2,ARI,,Kaleb Proctor,IDL,unknown,2026-09-08 20:42:00+00:00,espn
2026,2,ATL,,Divine Deablo,LB,questionable,2026-09-20 13:41:00+00:00,espn
2026,2,ATL,,Michael Penix Jr.,QB,out,2026-09-20 11:13:00+00:00,espn
2026,2,ATL,,Chris Lindstrom,IOL,questionable,2026-09-19 01:05:00+00:00,espn
2026,2,ATL,,Billy Bowman Jr.,CB,out,2026-09-18 23:03:00+00:00,espn
2026,2,ATL,,A.J. Terrell Jr.,CB,questionable,2026-09-18 22:58:00+00:00,espn
2026,2,ATL,,Jack Strand,QB,active,2026-09-18 22:22:00+00:00,espn
2026,2,ATL,,Jawaan Taylor,OT,active,2026-09-18 18:03:00+00:00,espn
2026,2,ATL,,Kendal Daniels,LB,active,2026-09-18 17:59:00+00:00,espn
2026,2,ATL,,Cooper Rush,QB,active,2026-09-18 17:48:00+00:00,espn
2026,2,ATL,,Tua Tagovailoa,QB,doubtful,2026-09-18 17:41:00+00:00,espn
2026,2,ATL,,Da'Shawn Hand,IDL,unknown,2026-09-17 00:21:00+00:00,espn
2026,2,ATL,,Nick Muse,TE,active,2026-09-16 21:35:00+00:00,espn
2026,2,ATL,,Nick Folk,PK,active,2026-09-15 01:06:00+00:00,espn
2026,2,ATL,,Olamide Zaccheaus,WR,active,2026-09-15 01:02:00+00:00,espn
2026,2,ATL,,Zachariah Branch,WR,active,2026-09-15 00:55:00+00:00,espn
2026,2,ATL,,Jahan Dotson,WR,active,2026-09-14 22:33:00+00:00,espn
2026,2,ATL,,Malcolm DeWalt IV,CB,active,2026-09-14 15:06:00+00:00,espn
2026,2,ATL,,Christian Harris,LB,active,2026-09-14 15:06:00+00:00,espn
