season,week,team,player_id,player_name,position_group,status,report_date,source
2026,3,ARI,,Kendrick Bourne,WR,active,2026-09-22 03:29:00+00:00,espn
2026,3,ARI,,Chad Ryland,PK,active,2026-09-22 00:23:00+00:00,espn
2026,3,ARI,,Max Melton,CB,questionable,2026-09-21 23:20:00+00:00,espn
2026,3,ARI,,Will Johnson,CB,doubtful,2026-09-21 23:17:00+00:00,espn
2026,3,ARI,,Garrett Williams,CB,out,2026-09-21 18:59:00+00:00,espn
2026,3,ARI,,Josh Fryar,OT,active,2026-09-21 18:59:00+00:00,espn
2026,3,ARI,,Tyler Allgeier,RB,active,2026-09-21 03:12:00+00:00,espn
2026,3,ARI,,Jacoby Brissett,QB,active,2026-09-21 00:52:00+00:00,espn
2026,3,ARI,,Marvin Harrison Jr.,WR,active,2026-09-21 00:44:00+00:00,espn
2026,3,ARI,,Michael Wilson,WR,active,2026-09-21 00:34:00+00:00,espn
2026,3,ARI,,Jeremiyah Love,RB,active,2026-09-21 00:16:00+00:00,espn
2026,3,ARI,,Trey McBride,TE,active,2026-09-21 00:06:00+00:00,espn
2026,3,ARI,,Mack Wilson Sr.,LB,active,2026-09-20 21:38:00+00:00,espn
2026,3,ARI,,Andrew Billings,IDL,out,2026-09-20 19:39:00+00:00,espn
2026,3,ARI,,Isaac Seumalo,IOL,active,2026-09-20 19:37:00+00:00,espn
2026,3,ARI,,Isaiah Adams,IOL,active,2026-09-20 19:34:00+00:00,espn
2026,3,ARI,,Roy Lopez,IDL,active,2026-09-20 19:18:00+00:00,espn
2026,3,ARI,,Carson Beck,QB,active,2026-09-20 19:16:00+00:00,espn
2026,3,ARI,,Reggie Virgil,WR,active,2026-09-20 19:13:00+00:00,espn
2026,3,ARI,,Dadrion Taylor-Demerson,S,active,2026-09-20 19:03:00+00:00,espn
2026,3,ARI,,Jack Gibbens,LB,active,2026-09-19 00:22:00+00:00,espn
2026,3,ARI,,Cody Simon,LB,active,2026-09-18 20:55:00+00:00,espn
