game_id,home_team,away_team,location,roof,surface,stadium,weather_available,weather_source,forecast_time_utc,temperature_f,wind_mph,wind_gust_mph,precipitation_probability_pct,precipitation_in,weather_code,weather_auto_points
2026_03_ATL_GB,GB,ATL,Home,outdoors,grass,Lambeau Field,True,open-meteo,2026-09-25 00:00:00+00:00,58.7,3.2,3.4,0,0.0,3,0.0
2026_03_CAR_CLE,CLE,CAR,Home,outdoors,grass,Huntington Bank Field,True,open-meteo,2026-09-27 17:00:00+00:00,67.0,6.8,6.5,1,0.0,0,0.0
2026_03_CIN_PIT,PIT,CIN,Home,outdoors,grass,Acrisure Stadium,True,open-meteo,2026-09-27 17:00:00+00:00,69.6,4.1,6.7,0,0.0,1,0.0
2026_03_HOU_IND,IND,HOU,Home,,fieldturf,Lucas Oil Stadium,True,open-meteo,2026-09-27 17:00:00+00:00,67.5,5.5,7.4,2,0.0,3,0.0
2026_03_KC_MIA,MIA,KC,Home,outdoors,grass,Hard Rock Stadium,True,open-meteo,2026-09-27 17:00:00+00:00,85.9,6.7,4.9,9,0.035,53,0.0
2026_03_LAC_BUF,BUF,LAC,Home,outdoors,a_turf,Highmark Stadium,False,missing,,,,,,,,0.0
2026_03_NE_JAX,JAX,NE,Home,outdoors,grass,EverBank Stadium,False,missing,,,,,,,,0.0
2026_03_NYJ_DET,DET,NYJ,Home,dome,fieldturf,Ford Field,False,missing,,,,,,,,0.0
2026_03_SEA_WAS,WAS,SEA,Home,outdoors,grass,Northwest Stadium,False,missing,,,,,,,,0.0
2026_03_TEN_NYG,NYG,TEN,Home,outdoors,fieldturf,MetLife Stadium,True,open-meteo,2026-09-27 17:00:00+00:00,70.2,11.5,16.8,21,0.0,3,0.0
2026_03_ARI_SF,SF,ARI,Home,outdoors,grass,Levi's Stadium,True,open-meteo,2026-09-27 20:00:00+00:00,70.7,9.7,11.2,0,0.0,1,0.0
2026_03_MIN_TB,TB,MIN,Home,outdoors,grass,Raymond James Stadium,True,open-meteo,2026-09-27 20:00:00+00:00,88.0,11.2,8.9,3,0.0,3,0.0
2026_03_BAL_DAL,DAL,BAL,Neutral,,matrixturf,Maracana Stadium,False,missing,,,,,,,,0.0
2026_03_LV_NO,NO,LV,Home,dome,sportturf,Caesars Superdome,True,open-meteo,2026-09-27 20:00:00+00:00,84.8,6.7,6.7,5,0.0,3,0.0
2026_03_LA_DEN,DEN,LA,Home,outdoors,grass,Empower Field at Mile High,True,open-meteo,2026-09-28 00:00:00+00:00,84.5,13.9,16.6,6,0.0,3,0.0
2026_03_PHI_CHI,CHI,PHI,Home,outdoors,grass,Soldier Field,True,open-meteo,2026-09-29 00:00:00+00:00,69.7,4.8,9.4,3,0.0,0,0.0
